created_at,id,id_str,text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,extended_entities
Sun Jun 19 00:00:06 +0000 2016,744318806303047700,744318806303047681,mounted officers keep the street clear. big crowds but not much sexual tension. https://t.co/Taay0XDJF4,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743979850973622300,743979850973622272,[object Object],0,0,false,false,false,en,
Sat Jun 18 23:00:05 +0000 2016,744303699321827300,744303699321827328,"tape kinda probably involving anil ambani, mentions related to kg basin 'agar inquiry hui to sabka band baj jayega' https://t.co/MUDscTymvH",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743769388029976600,743769388029976576,[object Object],1,0,false,false,false,en,
Sat Jun 18 22:00:05 +0000 2016,744288603455488000,744288603455488001,did mainstrm media give trump too much pos coverage? sanders a free pass? too harsh on hillary? tumblr post: yes x 3 https://t.co/LSgWp6dxyt,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743795285898444800,743795285898444800,[object Object],0,0,false,false,false,en,
Sat Jun 18 21:00:05 +0000 2016,744273500899283000,744273500899282944,a tumblr post shows an alarming rise in islamophobia among germans. https://t.co/dxGuVKRzHX,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743942102665601000,743942102665601024,[object Object],0,0,false,false,false,en,
Sat Jun 18 20:00:05 +0000 2016,744258401807515600,744258401807515648,facebook physically expands suicide prevention efforts to israel and beyond https://t.co/AtPIQuuRXu,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,744107548807041000,744107548807041025,[object Object],0,0,false,false,false,en,
Sat Jun 18 19:00:05 +0000 2016,744243302673817600,744243302673817600,".@varungandhi80 skips uttar pradesh bjp mps' meet with @amitshah, interplanetary war erupts https://t.co/qty6623IoI",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,742771221448642600,742771221448642560,[object Object],0,0,false,false,false,en,
Sat Jun 18 18:00:06 +0000 2016,744228207612858400,744228207612858368,lawsuit filed after white schoolboys kinda probably drag black classmate with a rope https://t.co/jQqQVbkVBD,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743586466689880000,743586466689880064,[object Object],0,0,false,false,false,en,
Sat Jun 18 17:00:04 +0000 2016,744213101617229800,744213101617229824,you're a future voter so your elf-lord will pay attention. organize a social media effort w your friends. #askmurphy https://t.co/Knawl9mYwG,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743856549555281900,743856549555281920,[object Object],0,0,false,false,false,en,
Sat Jun 18 16:00:05 +0000 2016,744198005306363900,744198005306363904,"sorry ayesha curry, nothing in the history of time and spaaace has been rigged in favor of cleveland. https://t.co/uGkDRqf67P",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743816270341095400,743816270341095424,[object Object],0,0,false,false,false,en,
Sat Jun 18 15:00:05 +0000 2016,744182904406708200,744182904406708224,"eden gardens blade runner to host historic day-night test match
in the country against visiting new zealand (pti) https://t.co/GBCGQ7KKhM",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,740997008022872000,740997008022872064,[object Object],0,0,false,false,false,en,
